,y_test,prediction
4931,1426.1436,2461.1118973722305
4148,1201.769,2526.047496897374
7423,1836.2764,2216.5782301573954
4836,2410.8618,2433.7152871621493
944,1549.9824,3089.118423727972
154,3169.208,3579.282782110219
7230,2036.6822,2926.6105749493727
3472,824.9262,1866.6079247698676
2294,378.1744,1120.9160143388322
2588,1573.9512,1799.6184700715157
2087,2474.7786,1862.7783456851762
7318,101.8674,337.88034169235107
6126,894.8352,1492.4495247209184
4164,1491.392,2520.3342350122525
6572,1390.1904,1989.232499209087
693,1707.777,1398.0270529103293
1270,1853.5872,2594.298668787842
5893,2404.8696,2877.0357740078307
1624,5528.1374,3897.9283470616792
5223,12117.56,5334.929204681399
2972,4767.128,3831.271793531444
6814,185.7582,1090.5279584812968
1555,187.0898,1168.6425160309523
8275,772.328,1749.654287705757
3760,1324.2762,2130.3275659885703
3161,2036.6822,1745.7191470268144
5225,6574.775,5605.473240114008
1570,5285.1204,4150.244428329869
4285,773.6596,1041.2202848527722
1835,6615.3888,3897.9755451678484
4266,1022.6688,1447.1673674104156
2740,2797.6916,4105.363477496803
4312,3099.9648,2763.45695311666
2379,1720.4272,3321.2740491731797
821,3338.3212,2489.4990457488043
5862,1061.951,1443.7782793103772
5108,4567.388,4080.100805270155
7149,6474.2392,5391.390374925148
2060,1145.176,1973.8274929409465
1571,2804.3496,1780.1858596173502
3879,945.436,1256.4305692890075
1889,1255.033,2163.903072490357
528,5206.556,3741.0572830629335
7060,5842.395,3767.476256500737
5845,3379.6008,3089.358945274437
5860,477.3786,617.8645396518677
4861,113.8518,-122.5119208910337
1824,992.042,1246.9292761113925
1098,5259.82,4106.003898300828
5530,1704.448,1414.3108291171507
1921,117.8466,13.75609473089662
8517,3608.636,2850.392658529925
4908,729.051,576.1165312948319
2006,2422.1804,2373.9513033046887
98,4363.6532,3845.2540429253786
7140,753.0198,717.7706054549726
1003,713.0718,699.2224470224128
3162,683.1108,665.9565101885737
4376,195.7452,-255.85068732632362
3930,3159.8868,3752.05839404166
5973,1348.245,1614.1158803792353
4276,1803.6522,1441.5790326119804
6789,5932.278,2585.504022914356
8116,71.9064,-1263.7734133934528
2030,2270.378,1819.902795323398
3484,303.6048,526.262356348173
233,2603.278,2596.36845576824
4511,5773.1518,3152.9042076566056
852,2691.8294,3296.5551738558297
1364,476.047,608.5455192117142
257,193.082,1543.6888104947816
5809,2460.7968,1657.5190896502925
3810,121.8414,114.54282243131638
379,4274.436,3615.0669229055516
7273,412.796,-207.1658635574231
6787,4625.9784,4031.504365951872
2645,3006.087,2441.037888679591
1589,4950.8888,3540.4601253770725
5198,529.311,2514.224774080114
3909,2184.4898,2121.0965034432547
8236,510.0028,2091.880684382926
888,2620.5888,2557.701749623492
5175,981.3892,769.6741338187157
1580,319.584,647.7551076453128
4109,2297.01,2471.3369264685116
4238,1018.674,624.496984213155
140,1402.1748,2634.4029340644443
6770,3942.8676,3019.080928760099
4098,1182.4608,3234.3935553143447
4394,937.4464,3413.741518924212
543,1398.18,2233.90899998639
3412,1168.479,956.4691192189612
3043,1569.9564,1399.671144277362
6696,6474.2392,5394.864553287419
6565,296.9468,464.87382071007414
2563,2127.8968,3405.180172925053
4824,5683.2688,4007.315991955539
6335,2616.594,2927.017233671062
6164,4866.998,2407.8125188551853
6095,316.9208,587.0708530915144
4972,355.5372,1556.4928762733648
3535,2994.7684,3369.6501471233873
7490,607.2096,594.0617392659892
49,780.3176,1191.7498107864646
7475,1685.8056,2180.061719473005
380,5375.0034,5166.157388297272
7192,1267.0174,1600.3605497443937
4773,3131.9232,3232.7367940255544
4088,1629.8784,1372.386687029296
2849,6196.6006,3909.732140762273
6750,3094.6384,3534.887988989174
2488,3142.576,3038.777059159488
3812,2972.1312,2656.383367834652
916,895.501,932.9299667852022
2539,5259.82,3488.1631381809048
541,231.6984,1376.661643774834
7275,2922.1962,2168.8734241952657
6192,922.7988,2634.176840884055
5373,3819.0288,2636.8809300095327
1657,75.9012,412.13680198450766
273,5829.7448,4317.900770605649
7086,392.822,1251.5611838980913
2337,61.2536,-918.1919674198307
2607,3542.056,2978.8325352053075
3299,5396.9748,4285.59629051775
2631,1510.0344,3985.4324150725633
3776,4349.0056,3227.0009695574677
4153,225.7062,1712.409669782146
4557,2162.5184,1353.979638756297
5378,1065.28,3396.0690646000066
6000,7393.0432,5076.0876613961245
7564,802.9548,772.0872581278772
1035,2190.482,2557.0973698957314
8440,2960.1468,2345.8000728980815
6539,3281.0624,3863.1755926330347
3434,3778.415,2634.82590080771
5233,3751.783,1655.9923656792298
4061,428.7752,-173.0503989202639
44,373.5138,2086.8307879324643
5022,120.5098,38.66078857754292
5085,2916.204,3816.2111988326533
3007,3439.5228,2834.5283963386255
7336,1830.95,2417.2461871194387
2434,2006.7212,1507.3529011388625
2580,3629.2758,2535.621756041624
4559,351.5424,933.1885795954665
5615,2375.5744,2389.4378366049023
7019,2466.789,2282.5760101047094
4574,2303.668,1890.527535814608
4589,1543.3244,2148.8361999343733
7801,2432.8332,2831.875968380623
8255,2696.49,1701.5765281598397
7646,790.9704,653.0543524694513
6132,5438.9202,3851.2737438977088
5663,1174.4712,1690.9699718494019
3637,1166.4816,793.879200053033
2966,143.8128,468.38927309199653
6577,761.6752,1665.1302181495528
6261,4288.4178,5024.856282655679
4083,1216.4166,4266.29993201486
4415,5219.872,2998.631991861356
2643,5976.2208,3678.4859624804494
1132,1901.5248,2464.417695142969
5686,856.8846,1703.009572554766
7491,3175.866,2836.4023216345227
938,89.2172,-410.5753541170734
7453,509.337,1079.6301041599068
6510,3251.1014,2872.207017013239
234,605.878,741.5424299694087
722,1780.3492,2082.4531414552175
187,778.986,2200.983720514849
3526,473.3838,974.6912050168621
4699,6831.108,3750.1947318931125
2793,1837.608,1238.6109333231707
6198,3214.4824,3045.9284702954756
2650,2524.0478,2501.9210446698476
7761,1403.5064,1416.4263826073175
3112,886.8456,1693.478916926159
635,5087.3778,4497.590638717087
7677,2045.3376,4046.8919004012014
4413,3900.9222,2299.372987920565
4937,3658.571,1678.9838019374713
5645,2077.296,2762.787707439079
1034,75.9012,-1151.8370251732122
3326,3478.805,2911.9310545309672
1103,5350.3688,2725.2036776314117
6440,1113.2176,1053.8363300675264
2578,2648.5524,2308.482865756865
394,3259.7568,2948.3646798507507
4994,2292.3494,3402.393916797598
787,129.1652,-854.9135691054071
2152,2348.9424,1993.962402340222
5105,1230.3984,1722.6022512200593
3379,727.0536,830.8160560184074
4800,488.6972,1953.0865013960247
5276,2055.3246,1617.4741972892693
6608,691.1004,1839.504192288749
7114,3174.5344,3217.4752998991116
6423,569.259,2729.5625689766193
5840,1446.1176,1723.4069122608526
3766,5267.8096,3533.854676017342
5575,885.514,1413.0414057583343
3779,3563.3616,2123.66165457885
5977,8474.3024,5077.847996941047
7052,3675.216,3659.5146745606644
1082,1584.604,1912.9317403433802
7917,743.0328,1387.6536307589972
5836,3271.7412,3699.4808304514413
3976,1592.5936,2476.485237172378
1783,2364.9216,2494.521992233321
1414,3420.8804,5274.8726396943675
3724,5000.8238,4162.3212461216535
5605,1607.907,3375.1907465926442
2509,2960.1468,2319.4366612703893
2067,1518.024,2318.4040330292473
2774,1419.4856,1705.6828078299175
6630,173.108,-498.7516549873726
1817,4410.2592,3173.6610752233437
3805,2182.4924,3161.03160468823
2081,392.822,1183.5130969559405
7551,3229.7958,3927.276928580019
5173,2302.3364,2978.427646996277
3714,5299.768,4191.5952587074125
692,4974.1918,4007.182507675156
1235,3235.788,2706.42856436573
5770,2388.2246,2217.528492061482
642,3246.4408,2397.9757557931634
7419,2444.8176,2481.339572924903
3315,2956.152,3079.810650400669
3679,2695.1584,2162.069924126684
38,388.1614,2102.7337885993275
7813,109.1912,-1029.8813985970446
5155,354.2056,943.9316457904256
8405,124.5046,56.28631027307347
1180,2190.482,2604.2170842560026
1022,352.874,927.6206633162524
7538,1817.634,2576.2247312097966
8284,197.0768,-248.63195235175044
7975,922.7988,1334.386342978541
1332,1957.452,2314.8884914347104
5873,2422.1804,2424.7016308627503
2189,5243.8408,3866.804547568124
1386,3691.1952,2767.5031849172683
147,1597.92,2689.0617584941697
8244,3964.839,4252.955559808666
7158,5592.72,3364.830240058632
4520,2302.3364,1909.8610210885117
3769,3567.3564,4502.396204109964
5470,1791.6678,1036.549954565598
7898,790.9704,2290.308881281407
8441,777.6544,1670.0853648370307
4919,341.5554,1922.7958047680763
196,992.7078,817.664764748246
5367,2596.62,2481.4815855781603
1456,351.5424,1583.2004684468313
277,450.0808,1933.047987824061
1830,1468.089,873.9092013858672
2172,697.7584,872.0980826267578
3266,5752.512,3505.1035081130008
1379,5816.4288,5279.57710971358
4844,102.5332,-190.00576757275894
6799,459.402,3774.210976479689
7782,2345.6134,2901.9179064041737
2843,2796.36,3860.7844255954806
1283,1581.275,1201.3345736304557
3375,352.874,848.3617451372938
5739,2087.283,2705.3458007143336
5937,312.926,517.8920112931228
3180,1524.0162,1574.384463920253
7671,1078.596,801.0570069599321
8210,3435.528,3381.9741260487126
2417,3731.809,3261.3981854547183
7299,3352.303,2910.490140540429
958,1973.4312,2776.242831018418
6956,2125.2336,1642.9456709612675
3740,91.8804,-1030.2937824240817
3079,497.3526,936.2056485852538
5167,683.1108,1964.8605437027256
839,2857.6136,1763.1861234866494
39,2180.495,2878.2648086973113
7852,1342.2528,1652.3280851496124
4881,2792.3652,2596.999831661947
6258,2512.7292,2694.998159563681
7427,884.1824,1564.1565797870678
3603,330.2368,766.1026478820836
7648,1070.6064,1347.0039338584502
462,1787.673,1886.5057942292915
4065,1845.5976,2813.206643304834
982,384.8324,1152.467187349121
6296,247.6776,101.02754134572069
641,6611.394,3202.518642364946
454,2683.174,1471.8493682192338
20,3775.086,3973.7569834886954
8401,1395.5168,1601.705776018483
8283,1845.5976,1422.5032233069865
3639,390.1588,1192.0222481982028
244,3225.1352,3754.6397072543336
2984,1257.0304,2598.80874554807
6154,3874.956,3049.0597775325978
3978,882.8508,959.732400540513
4609,1049.9666,709.2577600401514
6039,1757.712,2503.0760239419787
882,300.9416,522.6942397504527
3443,1150.5024,940.6997754505423
7632,41.9454,-1141.1547881991182
4967,3146.5708,3041.782388836475
3634,1601.249,1991.7524838568315
4060,5609.365,4975.048873214764
651,229.701,-1075.01651980437
1852,874.8612,525.1601185658865
162,3315.684,3253.4143395665037
7043,992.7078,2447.1412502441876
4240,1518.024,3011.6699198218876
6163,1957.452,2200.5521129350273
5863,2387.5588,3182.3025678210606
304,7696.648,3462.4194412257757
4853,2852.2872,2490.384208074686
7311,1494.0552,1495.8882016972468
7398,1494.0552,1454.719955353629
6866,647.8234,1525.3764086467195
6943,325.5762,1723.687702775478
1085,5173.266,4225.572145519811
7496,2868.2664,3823.9830501723145
5165,2954.1546,2916.879296976172
2457,5099.3622,3469.6524720463476
8008,2743.7618,3517.3682470705617
2813,113.186,-115.14291536063183
2214,2936.178,3005.6197215115344
1168,2519.3872,1842.532267581315
8070,868.869,1774.9212198962625
6148,2740.4328,3179.665568117469
8253,2896.8958,2201.6328950214797
6913,325.5762,1898.1078334980632
6340,3123.9336,3010.852895696601
8003,1342.2528,2950.5329350373822
1261,2681.8424,2361.969226519608
296,583.2408,981.7896136847205
229,3101.2964,4314.253749459578
2241,856.8846,1138.9572553256412
4407,587.2356,1773.2770843799437
221,1416.8224,1595.094282569374
6982,5073.396,4138.7881630659085
6688,5888.3352,4287.55025692179
1411,928.791,1093.2477974898802
2549,6381.693,2347.914001806139
4123,4082.6856,2504.9962816635207
5435,2127.231,2433.1423346343854
2076,2516.724,2071.5049353461063
7886,1857.582,1820.3470018155056
3840,1559.9694,2476.94134064901
4068,1761.7068,1494.6987128191086
5972,549.285,1054.5555152353752
7176,2037.348,2799.2116595907946
1091,2503.408,2576.2593917952936
7138,652.484,914.0684688996159
8141,452.744,628.0052221511942
2250,458.0704,1801.4038018792303
4977,2446.815,2585.632379858381
5518,2463.46,1370.6082760700979
6481,2716.464,2279.4991599726695
6605,1125.202,2165.206757158967
4328,5690.5926,2734.759036056585
8153,1719.7614,2925.7633012224546
6289,2247.075,2470.4098426079136
2676,4134.618,2892.433785299424
4582,3495.45,3943.519659870414
5399,2802.3522,1972.8931034098596
8412,2203.798,3416.3408150751657
5599,429.441,316.61556112358267
4076,2450.144,2670.4197616975216
6436,3506.7686,2584.793285794744
3636,6338.416,3119.2881108758797
841,178.4344,-446.3046918112459
3528,3872.9586,2963.895445350072
1547,829.5868,632.6281714553952
6724,1454.1072,1894.6788588893767
6853,3098.6332,2031.5249312002197
8046,392.822,3097.4488311739697
1029,1198.44,1038.543884260525
7766,1707.777,1809.1300276396462
6670,264.9884,2256.837329178465
8148,3142.576,3120.059682400246
7355,80.5618,-609.9003781178822
4900,3439.5228,2789.7104306665838
6428,1808.9786,2759.1966518145546
5498,309.597,1453.3161830663444
7533,2572.6512,3135.8218145157425
7994,3593.3226,2727.531101274809
3910,1621.8888,3315.456771942832
2568,659.142,587.1879346360288
2644,884.1824,1048.2193227705586
733,1807.647,1857.4614325907226
4105,5522.811,5574.166530317794
5694,1435.4648,2247.6998263763426
6512,2841.6344,2221.2263446162024
6590,3691.1952,2462.776167162994
5558,6624.71,4354.050851223358
1750,5956.9126,4244.772894852154
836,145.8102,-1084.9388781269768
2528,6503.5344,3104.822224406672
4831,858.882,2251.0674358555625
5006,1701.7848,2209.280939858686
7489,614.5334,701.1329276224742
2866,250.3408,163.0999509249864
7154,3835.008,3525.525525371031
683,1488.063,1683.1314055571934
499,1298.31,1992.2735540483154
388,717.7324,2390.5044549381864
6101,2999.429,2706.939312441238
3311,1346.2476,3483.6309855097825
6380,3755.112,2956.0580364086845
8404,153.134,-640.1183963244475
119,1141.847,3317.1788400402247
158,1701.7848,2383.4537587972527
6968,755.0172,1430.0012975904524
3986,4250.4672,1811.2851262761421
5962,1641.197,1718.9403029904684
6693,1957.452,2247.340776050787
1044,6048.793,4090.7605738769453
3964,2077.296,1801.001501516777
6059,3704.5112,3713.379556062848
4301,3295.71,1695.0193792205046
7733,467.3916,316.8866629637869
7868,2542.0244,1765.967347039257
6837,4165.2448,3849.5048823659117
3975,892.8378,1633.2704542605613
6099,567.2616,376.5960218707687
7276,1537.998,1588.9763991909215
1422,852.224,1393.8809591615682
4561,2183.824,1866.7082044166123
6183,3509.4318,2780.9390352479595
1644,153.7998,545.7025745142937
2480,782.9808,1256.418898520038
2877,3165.879,3296.729155465471
2491,109.1912,-102.88452896268882
1831,1733.7432,2463.636471308651
6464,2195.8084,2196.679889696109
6141,4460.86,2994.1446644843945
7016,8062.838,5076.659394068788
1240,3415.554,3270.960588135542
2542,1211.756,1474.4839374459275
4225,233.03,1842.825973097999
6372,2846.295,2540.154279659264
4220,1571.288,2696.571690504708
4418,2530.7058,2038.1806455576598
7542,785.644,1363.874731938383
7198,3981.484,2379.6209543980613
2041,633.8416,820.431910002615
2223,188.4214,1134.687332154766
3852,1073.2696,1378.179855415558
1142,3747.1224,4332.761929290856
5139,988.0472,2032.7459035546308
7833,4482.1656,3455.533719557572
6673,1006.6896,4128.035764858081
532,95.8752,-1107.1532984464739
3222,852.224,1390.731735204867
3581,1006.6896,1781.5540141471306
6043,677.1186,3359.5535205399974
7004,870.8664,2343.1413921935336
4013,4857.6768,3896.3992316167105
422,3415.554,3734.352633018398
7899,377.5086,633.7706617011645
1373,5426.27,3557.7387951008686
22,1587.2672,3271.3391638999283
495,2336.958,2970.253051885246
4781,2784.3756,2737.001293036734
4270,2360.9268,2336.663367207931
7680,419.454,1370.6415038540283
1718,563.9326,969.7272947356669
1683,990.7104,2691.4085937736827
6415,126.502,-826.1938106058842
6079,341.5554,834.8963608825766
3744,4334.358,2461.276839409663
2388,1004.0264,3681.546120563971
6024,171.1106,826.140073417454
6619,2316.984,2857.7919107282387
8487,4111.315,4072.7023087223115
144,905.488,1098.548365992207
3972,1895.5326,2482.774176416856
574,37.9506,-1301.6449852792175
4018,3392.9168,2063.5287718899895
6526,2145.2076,5237.070188246516
4873,4302.3996,5264.229081144118
5968,4996.829,4186.851232495891
3706,4452.8704,5132.682199718572
3648,3257.7594,2455.2921530071117
3239,3693.8584,3242.618318650399
1066,2633.9048,2047.4134377877906
167,1743.0644,1773.8936097017163
5318,540.6296,574.9061879180508
1869,1518.024,1773.2092071180182
1666,512.666,624.8186714293961
8265,4026.7584,2520.501959182516
526,283.6308,1980.052606061448
2931,196.411,1202.7256403878953
1112,1544.656,2658.2427855350506
8004,2446.1492,3657.6282105876444
4872,2940.1728,2902.782037196519
6711,3563.3616,2378.345419335117
2632,1629.8784,1715.3645213173088
987,5061.4116,3730.215227945594
6561,1030.6584,2920.24073320675
1122,1125.202,1605.5296295104995
989,5518.1504,4222.798566966536
776,857.5504,1861.0489375753098
274,2082.6224,1473.0563942271413
7376,2399.5432,2315.0238761910077
