,y_test,prediction
4931,1426.1436,2581.906228802343
4148,1201.769,1312.0548992916404
7423,1836.2764,2096.446021010467
4836,2410.8618,2183.2299001098013
944,1549.9824,3026.191666234189
154,3169.208,4041.1060082444583
7230,2036.6822,2689.031844753067
3472,824.9262,1942.7718134551067
2294,378.1744,515.7487605309068
2588,1573.9512,1611.8473631832087
2087,2474.7786,1924.1867861773042
7318,101.8674,356.3164838534427
6126,894.8352,1572.06170729186
4164,1491.392,2456.03520167218
6572,1390.1904,1924.1867861773042
693,1707.777,1497.7056916897563
1270,1853.5872,2478.5228881845273
5893,2404.8696,2926.1471618972428
1624,5528.1374,3753.6737979194418
5223,12117.56,5717.4717554305735
2972,4767.128,3742.8504521857994
6814,185.7582,518.9099004177833
1555,187.0898,508.4691967498435
8275,772.328,1604.428329059331
3760,1324.2762,2135.5343253526275
3161,2036.6822,1654.338928348179
5225,6574.775,5717.4717554305735
1570,5285.1204,4097.428187993789
4285,773.6596,1072.3748888284865
1835,6615.3888,4054.950577447114
4266,1022.6688,1478.5923416717442
2740,2797.6916,4098.903528395973
4312,3099.9648,3033.484053341212
2379,1720.4272,3797.027105129286
821,3338.3212,2341.3237281069737
5862,1061.951,578.2306550780479
5108,4567.388,4380.353414591596
7149,6474.2392,5717.4717554305735
2060,1145.176,1924.1867861773042
1571,2804.3496,1654.338928348179
3879,945.436,1566.1527077954445
1889,1255.033,824.2663357911712
528,5206.556,3747.416348645097
7060,5842.395,4052.443575837307
5845,3379.6008,3032.8661837309187
5860,477.3786,381.01243482799214
4861,113.8518,272.6750503673124
1824,992.042,549.8167208008416
1098,5259.82,4102.1623252331765
5530,1704.448,1572.06170729186
1921,117.8466,272.5904817347823
8517,3608.636,2992.246345972941
4908,729.051,356.9498744620289
2006,2422.1804,2131.948868815632
98,4363.6532,3855.2868716673706
7140,753.0198,453.57385124237754
1003,713.0718,724.6108030830242
3162,683.1108,708.6499359059545
4376,195.7452,276.317857782697
3930,3159.8868,4078.968384144902
5973,1348.245,1539.5063825109187
4276,1803.6522,1371.9598213341408
6789,5932.278,2494.0725042560034
8116,71.9064,329.00706844657776
2030,2270.378,1647.3367686451413
3484,303.6048,365.53575620188394
233,2603.278,2463.582229656961
4511,5773.1518,3042.778700228506
852,2691.8294,3992.3798473836005
1364,476.047,717.7925498521996
257,193.082,1599.2022185071505
5809,2460.7968,1618.5949174815446
3810,121.8414,272.5904817347823
379,4274.436,4052.5493602988413
7273,412.796,274.8132345698491
6787,4625.9784,4104.644305794212
2645,3006.087,2161.82749094001
1589,4950.8888,4029.570557636382
5198,529.311,2504.607489451461
3909,2184.4898,2101.443456329921
8236,510.0028,594.4793196405149
888,2620.5888,2700.314116518996
5175,981.3892,709.2833265145408
1580,319.584,429.47290686595113
4109,2297.01,2468.9726603589284
4238,1018.674,429.47290686595113
140,1402.1748,2468.000241491615
6770,3942.8676,3029.591636493457
4098,1182.4608,3031.0858346474474
4394,937.4464,3180.705327193537
543,1398.18,2119.766781463792
3412,1168.479,1130.9216682106542
3043,1569.9564,1478.5923416717442
6696,6474.2392,5717.4717554305735
6565,296.9468,362.3001574176979
2563,2127.8968,2948.9142553543325
4824,5683.2688,4102.1623252331765
6335,2616.594,2926.437032733599
6164,4866.998,2384.292486967247
6095,316.9208,377.1311522291229
4972,355.5372,1578.0701872982424
3535,2994.7684,3194.1935907352586
7490,607.2096,373.8324252792627
49,780.3176,567.8775120849092
7475,1685.8056,2131.948868815632
380,5375.0034,5717.4717554305735
7192,1267.0174,1578.0701872982424
4773,3131.9232,3035.295062663565
4088,1629.8784,1572.06170729186
2849,6196.6006,3876.152704572576
6750,3094.6384,4029.368523299625
2488,3142.576,3023.8914740776263
3812,2972.1312,2716.036382824599
916,895.501,453.082586332728
2539,5259.82,4027.269628530434
541,231.6984,1239.4881559110022
7275,2922.1962,2167.974558578045
6192,922.7988,2468.000241491615
5373,3819.0288,2535.6134109247655
1657,75.9012,356.3164838534427
273,5829.7448,4135.492922787688
7086,392.822,542.2192242031816
2337,61.2536,441.73582996925575
2607,3542.056,3031.0858346474474
3299,5396.9748,4145.04356254569
2631,1510.0344,4097.428187993789
3776,4349.0056,3039.3793238104745
4153,225.7062,552.5723671963203
4557,2162.5184,947.2284455003611
5378,1065.28,3995.9856122295423
6000,7393.0432,5717.4717554305735
7564,802.9548,709.2833265145408
1035,2190.482,2509.6483617714243
8440,2960.1468,2474.5761373627
6539,3281.0624,3869.347660531519
3434,3778.415,2468.000241491615
5233,3751.783,1654.1946618128184
4061,428.7752,274.8132345698491
44,373.5138,2053.2106487460733
5022,120.5098,272.6750503673124
5085,2916.204,4044.8513087473575
3007,3439.5228,2145.321741065258
7336,1830.95,2482.6334076416733
2434,2006.7212,1532.433712656043
2580,3629.2758,2494.8924850757317
4559,351.5424,460.5030013097067
5615,2375.5744,2452.9833675648815
