,y_test,prediction
4931,1426.1436,2474.5948332736534
4148,1201.769,2524.7755539202353
7423,1836.2764,2214.8632964275016
4836,2410.8618,2431.524873565485
944,1549.9824,3087.710284176376
154,3169.208,3592.2530261392994
7230,2036.6822,2927.6984693739787
3472,824.9262,1879.7317248307522
2294,378.1744,1126.1472301691106
2588,1573.9512,1799.6495294584201
2087,2474.7786,1860.9356040582825
7318,101.8674,337.5669384683215
6126,894.8352,1492.1673215898863
4164,1491.392,2506.358707409304
6572,1390.1904,1987.338291327513
693,1707.777,1410.7033680156912
1270,1853.5872,2581.382331064794
5893,2404.8696,2875.8599058355185
1624,5528.1374,3898.9209225786544
5223,12117.56,5333.527437744371
2972,4767.128,3832.745897614357
6814,185.7582,1085.1656542321705
1555,187.0898,1173.2484992144823
8275,772.328,1737.24550758825
3760,1324.2762,2128.8481757444124
3161,2036.6822,1744.4798544204127
5225,6574.775,5604.270367256342
1570,5285.1204,4136.731022818351
4285,773.6596,1027.910052057799
1835,6615.3888,3896.22809113091
4266,1022.6688,1460.1670618034902
2740,2797.6916,4091.7933132167645
4312,3099.9648,2763.166749360814
2379,1720.4272,3334.3829334747998
821,3338.3212,2477.692266321076
5862,1061.951,1441.8666044314648
5108,4567.388,4079.196946079374
7149,6474.2392,5389.994618557428
2060,1145.176,1973.0530501138799
1571,2804.3496,1778.8381957422762
3879,945.436,1257.0774287870377
1889,1255.033,2163.2293671219445
528,5206.556,3741.161469095401
7060,5842.395,3765.0901477587017
5845,3379.6008,3075.2279317884195
5860,477.3786,612.8909079661719
4861,113.8518,-125.28556047774691
1824,992.042,1253.075029340649
1098,5259.82,4118.256473487096
5530,1704.448,1413.8645708200288
1921,117.8466,20.130344846847038
8517,3608.636,2864.415817072252
4908,729.051,574.7773017112486
2006,2422.1804,2373.1353080021054
98,4363.6532,3844.267074630493
7140,753.0198,718.3704792746425
1003,713.0718,688.6809623540948
3162,683.1108,663.6771730138994
4376,195.7452,-251.24111021817544
3930,3159.8868,3750.5586068619023
5973,1348.245,1602.948305115796
4276,1803.6522,1439.6776706725154
6789,5932.278,2586.9670382573645
8116,71.9064,-1257.9198174144808
2030,2270.378,1818.9442975848697
3484,303.6048,522.6792006784115
233,2603.278,2583.7631215853794
4511,5773.1518,3165.4124620488196
852,2691.8294,3295.2133013183443
1364,476.047,621.6637280848227
257,193.082,1543.6362045490728
5809,2460.7968,1657.533432481363
3810,121.8414,119.10835950370983
379,4274.436,3601.9280544361695
7273,412.796,-202.50641342776407
6787,4625.9784,4043.88720972553
2645,3006.087,2429.1324088939555
1589,4950.8888,3553.8875479856843
5198,529.311,2513.764281919121
3909,2184.4898,2133.76663500227
8236,510.0028,2087.571116510372
888,2620.5888,2572.3211977962505
5175,981.3892,767.489393268871
1580,319.584,648.6732366405063
4109,2297.01,2469.31878491517
4238,1018.674,624.6786543037979
140,1402.1748,2621.8496493846806
6770,3942.8676,3031.5090615236313
4098,1182.4608,3220.9352765009526
4394,937.4464,3413.5162868437096
543,1398.18,2231.87342729258
3412,1168.479,957.7382930376984
3043,1569.9564,1412.5993433308067
6696,6474.2392,5393.510550814764
6565,296.9468,462.22029434105184
2563,2127.8968,3407.131973138386
4824,5683.2688,4019.3019776389447
6335,2616.594,2916.366583969847
6164,4866.998,2408.1417114514397
6095,316.9208,593.9137079185748
4972,355.5372,1557.3870041567093
3535,2994.7684,3368.1751601686738
7490,607.2096,593.127503854877
49,780.3176,1191.2348569372255
7475,1685.8056,2192.655355662185
380,5375.0034,5164.760853947208
7192,1267.0174,1599.2550154253258
4773,3131.9232,3231.660735152298
4088,1629.8784,1373.2955377473645
2849,6196.6006,3909.27419130889
6750,3094.6384,3532.408929312329
2488,3142.576,3052.3131902564655
3812,2972.1312,2653.6897583905393
916,895.501,930.2436541721438
2539,5259.82,3475.5291969272766
541,231.6984,1377.017037217985
7275,2922.1962,2168.0599346444483
6192,922.7988,2632.6996657720774
5373,3819.0288,2622.92705366314
1657,75.9012,411.0580743225164
273,5829.7448,4305.257032553889
7086,392.822,1255.647941739805
2337,61.2536,-920.9455681079571
2607,3542.056,2990.707508449439
3299,5396.9748,4273.651969109662
2631,1510.0344,3997.879725729258
3776,4349.0056,3224.983596621977
4153,225.7062,1717.3064033484375
4557,2162.5184,1352.8697357904439
5378,1065.28,3408.580272320712
6000,7393.0432,5074.771130922047
7564,802.9548,770.558134908561
1035,2190.482,2555.042925146838
8440,2960.1468,2344.7765829278565
6539,3281.0624,3862.115431509174
3434,3778.415,2632.811461933694
5233,3751.783,1668.4879875238237
4061,428.7752,-166.22746372496522
44,373.5138,2084.642380606818
5022,120.5098,36.722929957683846
5085,2916.204,3828.6656323963607
3007,3439.5228,2833.10303794756
7336,1830.95,2417.2196417752393
2434,2006.7212,1506.2063674640185
2580,3629.2758,2548.6812158251196
4559,351.5424,928.8651523735023
5615,2375.5744,2387.811513557781
7019,2466.789,2267.850431217842
4574,2303.668,1890.8738006304147
4589,1543.3244,2147.74151145025
7801,2432.8332,2832.1282669188795
8255,2696.49,1700.731466943557
7646,790.9704,665.8544610272611
6132,5438.9202,3850.812062079309
5663,1174.4712,1680.5915559903456
3637,1166.4816,805.8284984604682
2966,143.8128,472.59591720036315
6577,761.6752,1663.5796453558987
6261,4288.4178,5023.206601658191
4083,1216.4166,4265.004322172585
4415,5219.872,3011.1641151294216
2643,5976.2208,3676.9962959869754
1132,1901.5248,2464.859510522602
5686,856.8846,1692.2422297856708
7491,3175.866,2847.8795361036346
938,89.2172,-415.73433508275593
7453,509.337,1068.3035822301777
6510,3251.1014,2861.4809368936258
234,605.878,755.8209258298477
722,1780.3492,2094.7721113106954
187,778.986,2187.2661832314243
3526,473.3838,961.5739665080209
4699,6831.108,3748.704384777033
2793,1837.608,1253.1981342931717
6198,3214.4824,3043.4413714260813
2650,2524.0478,2488.3485434015683
7761,1403.5064,1414.0463633338418
3112,886.8456,1679.642223712337
635,5087.3778,4497.186444872828
7677,2045.3376,4046.2404754074746
4413,3900.9222,2312.8198111478932
