,y_test,prediction
4931,1426.1436,2646.175
4148,1201.769,1695.9078
7423,1836.2764,2058.0247
4836,2410.8618,2080.6482
944,1549.9824,2801.848
154,3169.208,4001.3096
7230,2036.6822,2730.2944
3472,824.9262,1924.525
2294,378.1744,500.74643
2588,1573.9512,1784.0396
2087,2474.7786,1950.8195
7318,101.8674,582.06323
6126,894.8352,1601.6132
4164,1491.392,2493.7676
6572,1390.1904,1974.6962
693,1707.777,1458.0428
1270,1853.5872,2500.0437
5893,2404.8696,2904.0457
1624,5528.1374,3643.3538
5223,12117.56,6357.362
2972,4767.128,3633.6345
6814,185.7582,491.12534
1555,187.0898,500.01822
8275,772.328,1608.661
3760,1324.2762,2235.655
3161,2036.6822,1634.5599
5225,6574.775,6181.177
1570,5285.1204,4029.985
4285,773.6596,909.03595
1835,6615.3888,4019.933
4266,1022.6688,1459.0076
2740,2797.6916,4046.8804
4312,3099.9648,2800.1025
2379,1720.4272,3884.7317
821,3338.3212,2400.6543
5862,1061.951,514.33453
5108,4567.388,4163.039
7149,6474.2392,6486.4404
2060,1145.176,1945.4086
1571,2804.3496,1634.5248
3879,945.436,1423.3824
1889,1255.033,973.2265
528,5206.556,3679.6792
7060,5842.395,3933.9827
5845,3379.6008,2980.2332
5860,477.3786,424.15256
4861,113.8518,290.53375
1824,992.042,528.14923
1098,5259.82,4035.9963
5530,1704.448,1446.2494
1921,117.8466,247.76193
8517,3608.636,2953.0342
4908,729.051,709.64136
2006,2422.1804,2027.87
98,4363.6532,3596.7292
7140,753.0198,769.6593
1003,713.0718,674.5034
3162,683.1108,654.0551
4376,195.7452,205.06133
3930,3159.8868,4128.427
5973,1348.245,1503.0884
4276,1803.6522,1490.1061
6789,5932.278,2550.9917
8116,71.9064,105.01196
2030,2270.378,1616.2859
3484,303.6048,359.89478
233,2603.278,2503.4072
4511,5773.1518,2971.7688
852,2691.8294,4014.9773
1364,476.047,678.00134
257,193.082,1610.3481
5809,2460.7968,1612.1567
3810,121.8414,287.3114
379,4274.436,4026.9727
7273,412.796,228.98317
6787,4625.9784,4023.4246
2645,3006.087,2050.363
1589,4950.8888,3976.39
5198,529.311,2557.622
3909,2184.4898,2037.4114
8236,510.0028,562.07245
888,2620.5888,2687.876
5175,981.3892,702.35535
1580,319.584,768.01196
4109,2297.01,2535.2083
4238,1018.674,770.81726
140,1402.1748,2503.4072
6770,3942.8676,2970.3792
4098,1182.4608,2970.8157
4394,937.4464,3250.44
543,1398.18,2014.0251
3412,1168.479,1314.3003
3043,1569.9564,1458.0864
6696,6474.2392,6198.6914
